6	Machu Picchu Trail	Peru	Hike the sacred Inca Trail through cloud forests to Peru's lost citadel in the clouds.	Discover ancient Inca civilization and archaeological wonders	https://images.unsplash.com/photo-1531065208531-4036c0dba3ca?ixlib=rb-4.0.3&auto=format&fit=crop&w=1200&q=80	3200.00	6	\N	4.70	1100	10	true	[""Historic Train"",""Archaeological Sites"",""Sacred Valley"",""Inca Culture"",""Mountain Views""]	[{""day"":1,""title"":""Cuzco Acclimatization"",""description"":""Arrive in Sacred Valley, altitude adjustment, local market exploration and quinoa cooking class""},{""day"":2,""title"":""Trail Beginning"",""description"":""Start Inca Trail trek, ancient terraces exploration, llama encounters on mountain paths""},{""day"":3,""title"":""Cloud Forest Trek"",""description"":""Misty cloud forest hiking, orchid discovery, camping at high altitude with Andean views""},{""day"":4,""title"":""Dead Womans Pass"",""description"":""Highest point crossing at 4,215m, condor sightings, ancient Inca ruins exploration""},{""day"":5,""title"":""Machu Picchu Sunrise"",""description"":""Dawn entry through Sun Gate, guided tour of ancient citadel, huayna picchu climb""},{""day"":6,""title"":""Sacred Valley Return"",""description"":""Traditional weaving workshop, alpaca farm visit, farewell ceremony with local guides""}]	""2025-06-11T08:47:14.750Z""	""2025-06-11T08:47:14.750Z""	4320.00	22	Trending	""2025-06-24T09:11:45.078Z""	percentage	Winter Wonderland	false	\N	TREND22	5	7	\N
38	Tokyo Neon Nights	Japan	Experience the electric energy of Tokyo with guided tours through neon-lit districts, traditional temples, and world-class cuisine.	\N	https://images.unsplash.com/photo-1540959733332-eab4deabeeaf	2899.00	7	6000.50	4.80	156	4	true	[""Luxury Hotel"",""All Meals"",""Private Guide"",""Cultural Tours""]	[{""day"":""Day 1"",""title"":""Arrival in Tokyo"",""description"":""Welcome to the neon capital of the world""},{""day"":""Day 2"",""title"":""Shibuya & Harajuku"",""description"":""Explore youth culture and fashion districts""}]	""2025-06-12T10:18:00.874Z""	""2025-06-12T10:18:00.874Z""	3299.00	0	\N	\N	percentage	\N	false	\N	\N	0	0	\N
40	Bali Spiritual Retreat	Indonesia	Find inner peace in Bali with yoga sessions, meditation workshops, traditional healing ceremonies, and luxury spa treatments.	\N	https://images.unsplash.com/photo-1537953773345-d172ccf13cf1	1899.00	6	4200.25	4.70	134	8	true	[""Yoga Classes"",""Spa Treatments"",""Healthy Meals"",""Meditation Sessions""]	[{""day"":""Day 1"",""title"":""Arrival & Welcome Ceremony"",""description"":""Traditional Balinese welcome ritual""},{""day"":""Day 2"",""title"":""Sunrise Yoga"",""description"":""Morning practice overlooking rice terraces""}]	""2025-06-12T10:18:00.874Z""	""2025-06-12T10:18:00.874Z""	2299.00	15	Wellness Special	""2025-06-30T23:59:59.000Z""	percentage	Summer Special	false	\N	PEACE15	3	8	\N
39	Patagonia Wilderness	Argentina	Trek through pristine wilderness in Patagonia with expert guides, camp under starlit skies, and witness breathtaking glacial landscapes.	\N	https://images.unsplash.com/photo-1544735716-392fe2489ffa?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=2070&q=80	3599.00	10	8500.75	4.90	89	6	true	[""Camping Gear"",""Expert Guide"",""All Meals"",""Transportation""]	[{""day"":""Day 1"",""title"":""Base Camp Setup"",""description"":""Establish camp in the heart of Patagonia""},{""day"":""Day 2"",""title"":""Glacier Trekking"",""description"":""Hike to ancient glacial formations""}]	""2025-06-12T10:18:00.874Z""	""2025-06-12T10:18:00.874Z""	4199.00	25	Adventure Deal	""2025-07-01T23:59:59.000Z""	percentage	Winter Wonderland	false	\N	WILD25	2	15	\N
21	Serengeti Migration	Tanzania	Witness millions of wildebeest thunder across endless plains in nature's greatest spectacle.	Experience the Great Migration in the Serengeti	https://images.unsplash.com/photo-1547036967-23d11aacaee0?ixlib=rb-4.0.3&auto=format&fit=crop&w=1200&q=80	4299.00	8	7830.45	4.90	678	6	true	[""Great Migration viewing"",""Big Five safari"",""Maasai village visit"",""Luxury tented camps"",""Hot air balloon safari""]	[{""day"":1,""title"":""Serengeti Entry Gates"",""description"":""Fly to Kilimanjaro, drive to Serengeti National Park, afternoon game drive with wildebeest herds introduction""},{""day"":2,""title"":""Great Migration Spectacle"",""description"":""Dawn game drive following massive wildebeest and zebra herds, witness river crossings with crocodile encounters""},{""day"":3,""title"":""Big Cat Predator Focus"",""description"":""Track lions and cheetahs hunting migrating herds, photograph dramatic predator-prey interactions""},{""day"":4,""title"":""Mara River Crossing"",""description"":""Position at famous crossing points, witness thousands of animals braving crocodile-infested waters""},{""day"":5,""title"":""Maasai Cultural Exchange"",""description"":""Visit traditional Maasai village, learn warrior traditions, participate in traditional dances and ceremonies""},{""day"":6,""title"":""Ngorongoro Crater"",""description"":""Descend into world largest intact volcanic caldera, spot rare black rhinos and flamingo-filled lakes""},{""day"":7,""title"":""Conservation Education"",""description"":""Meet wildlife researchers, learn about migration patterns and conservation efforts protecting this natural wonder""},{""day"":8,""title"":""Final Migration Views"",""description"":""Last chance photography of endless herds, traditional Tanzanian farewell feast, departure to Kilimanjaro""}]	""2025-06-11T08:57:33.495Z""	""2025-06-11T08:57:33.495Z""	\N	0	On Sale	\N	percentage	\N	false	\N	\N	0	0	\N
7	Northern Lights Explorer	Iceland	Chase dancing auroras across Iceland's dramatic landscapes of geysers, glaciers, and volcanic wonders.	Chase the Northern Lights across Iceland's dramatic landscapes	https://images.unsplash.com/photo-1483347756197-71ef80e95f73?ixlib=rb-4.0.3&auto=format&fit=crop&w=1200&q=80	2499.00	7	3420.50	4.80	342	4	true	[""Northern Lights viewing"",""Blue Lagoon geothermal spa"",""Golden Circle tour"",""Glacier hiking"",""Local cuisine tasting""]	[{""day"":1,""title"":""Reykjavik & Blue Lagoon"",""description"":""Arrive in Iceland capital, explore colorful downtown, evening soak in geothermal Blue Lagoon spa with silica mud masks""},{""day"":2,""title"":""Golden Circle Classic"",""description"":""Visit Thingvellir National Park where continents meet, Geysir hot spring eruptions, powerful Gullfoss waterfall""},{""day"":3,""title"":""South Coast Wonders"",""description"":""Seljalandsfoss and Skogafoss waterfalls, black sand beaches of Reynisfjara, puffin colonies at Dyrholaey arch""},{""day"":4,""title"":""Glacier Adventure"",""description"":""Glacier hiking on Solheimajokull with crampons, ice cave exploration, diamond beach with icebergs""},{""day"":5,""title"":""Northern Lights Hunt"",""description"":""Evening aurora hunting tour, photography workshop, traditional Icelandic feast with fermented shark tasting""},{""day"":6,""title"":""Westfjords & Hot Springs"",""description"":""Remote Westfjords exploration, natural hot springs bathing, dramatic cliff bird watching""},{""day"":7,""title"":""Farewell Aurora"",""description"":""Final northern lights opportunity, traditional Icelandic wool shopping, geothermal bakery bread, departure""}]	""2025-06-11T08:56:54.878Z""	""2025-06-11T08:56:54.878Z""	3198.72	1	Most Popular	""2025-06-30T09:11:54.485Z""	bogo	Beach Season	false	\N	BEACH2024	0	10	{""value"":350,""includes"":[""Beach cabana"",""Watersports equipment"",""Sunset dinner""]}
9	Australian Outback Adventure	Australia	Journey to Uluru's sacred heart, encounter wild kangaroos, and sleep under the Southern Hemisphere's brightest stars.	Experience Australia's wild heart and unique wildlife	https://images.unsplash.com/photo-1523482580672-f109ba8cb9be?ixlib=rb-4.0.3&auto=format&fit=crop&w=1200&q=80	3299.00	10	15420.25	4.90	423	8	true	[""Uluru sunrise tour"",""Aboriginal cultural experience"",""Wildlife sanctuary visit"",""4WD desert adventure"",""Stargazing sessions""]	[{""day"":1,""title"":""Sydney to Red Centre"",""description"":""Fly from Sydney to Alice Springs, Outback orientation tour, traditional Aboriginal welcome ceremony, desert sunset viewing""},{""day"":2,""title"":""Uluru Sacred Experience"",""description"":""Sunrise at Uluru (Ayers Rock), base walk with Aboriginal guide learning Dreamtime stories, cultural center visit""},{""day"":3,""title"":""Kata Tjuta Exploration"",""description"":""Explore Valley of the Winds at Kata Tjuta (The Olgas), Aboriginal art workshops, bush tucker tasting""},{""day"":4,""title"":""Kings Canyon Adventure"",""description"":""Rim walk at Kings Canyon, swim in permanent rock pools, helicopter flight over MacDonnell Ranges""},{""day"":5,""title"":""Outback Station Life"",""description"":""Working cattle station experience, horseback riding, campfire cooking, swagman sleeping under stars""},{""day"":6,""title"":""Desert Wildlife Safari"",""description"":""Search for bilbies, echidnas, and kangaroos, visit Alice Springs Desert Park, camel trekking experience""},{""day"":7,""title"":""Aboriginal Art & Culture"",""description"":""Visit renowned Aboriginal art galleries, meet local artists, participate in traditional painting workshops""},{""day"":8,""title"":""Coober Pedy Underground"",""description"":""Drive to opal mining town, explore underground homes and churches, try opal fossicking""},{""day"":9,""title"":""Flinders Ranges"",""description"":""Dramatic mountain landscapes, fossil hunting, visit historic Blinman mine, spectacular gorge walks""},{""day"":10,""title"":""Outback Farewell"",""description"":""Final sunrise over red earth, authentic bush breakfast, return flight to Sydney with unforgettable memories""}]	""2025-06-11T08:56:54.878Z""	""2025-06-11T08:56:54.878Z""	\N	25	Flash Sale	""2025-06-20T23:59:59.000Z""	percentage	Summer Special	true	""2025-06-15T23:59:59.000Z""	AUSSIE25	4	10	\N
33	Irish Countryside & Castles	Ireland	Explore emerald hills dotted with ancient castles, sip whiskey in cozy pubs, and kiss the Blarney Stone.	Journey through Ireland's emerald landscapes and castles	https://images.unsplash.com/photo-1509316975850-ff9c5deb0cd9?ixlib=rb-4.0.3&auto=format&fit=crop&w=1200&q=80	2399.00	8	1240.80	4.50	678	4	true	[""Castle tours"",""Ring of Kerry drive"",""Traditional pub music"",""Cliffs of Moher"",""Irish whiskey tasting""]	[{""day"":1,""title"":""Dublin Castle Tour"",""description"":""Explore medieval Dublin Castle, traditional Irish breakfast, evening folk music session""},{""day"":2,""title"":""Ring of Kerry Drive"",""description"":""Scenic coastal drive, ancient stone circles, traditional Irish pub lunch""},{""day"":3,""title"":""Cliffs of Moher"",""description"":""Dramatic cliff walks, puffin watching, traditional Irish storytelling""},{""day"":4,""title"":""Castle Hopping"",""description"":""Visit Kilkenny Castle, medieval banquet, falconry demonstration""},{""day"":5,""title"":""Countryside Exploration"",""description"":""Rolling green hills, sheep herding demo, traditional craft workshops""},{""day"":6,""title"":""Whiskey Distillery"",""description"":""Irish whiskey tasting, distillery tour, traditional Irish music lessons""},{""day"":7,""title"":""Departure"",""description"":""Final countryside views, traditional Irish farewell ceremony""}]	""2025-06-11T08:58:12.434Z""	""2025-06-11T08:58:12.434Z""	\N	0	\N	\N	percentage	\N	false	\N	\N	0	0	\N
14	Himalayan Base Camp	Nepal	Trek ancient paths to Everest's base through Sherpa villages and Buddhist monasteries.	Trek to Everest Base Camp through Sherpa lands	https://images.unsplash.com/photo-1544551763-46a013bb70d5?ixlib=rb-4.0.3&auto=format&fit=crop&w=1200&q=80	3999.00	14	7890.20	4.90	756	2	true	[""Everest Base Camp trek"",""Sherpa village visits"",""Buddhist monastery tours"",""Himalayan sunrise"",""High altitude acclimatization""]	[{""day"":1,""title"":""Arrival in Kathmandu"",""description"":""Fly into Lukla airport, meet your Sherpa guide, and begin the trek through traditional villages""},{""day"":2,""title"":""Trek to Namche Bazaar"",""description"":""Cross suspension bridges over glacial rivers and ascend through rhododendron forests""},{""day"":3,""title"":""Acclimatization Day"",""description"":""Explore Sherpa culture, visit local monasteries, and prepare for higher altitudes""},{""day"":4,""title"":""Trek to Tengboche"",""description"":""Visit the famous Tengboche monastery with spectacular mountain views""},{""day"":5,""title"":""Journey to Dingboche"",""description"":""Trek through alpine terrain with breathtaking Himalayan panoramas""},{""day"":6,""title"":""Everest Base Camp"",""description"":""Reach the legendary base camp and witness sunrise over the world's highest peaks""},{""day"":7,""title"":""Return Journey"",""description"":""Descend through mountain villages back to Lukla for departure""}]	""2025-06-11T08:56:54.878Z""	""2025-06-11T08:56:54.878Z""	\N	0	Early Bird	\N	percentage	\N	false	\N	\N	0	0	\N
5	Kenya Safari Experience	Kenya	Track the Big Five across golden savannas while experiencing authentic Maasai culture.	Experience the Big Five in their natural habitat	https://images.unsplash.com/photo-1516426122078-c23e76319801?ixlib=rb-4.0.3&auto=format&fit=crop&w=1200&q=80	4200.00	7	\N	4.60	850	6	true	[""Safari Drives"",""Big Five"",""Masai Culture"",""Luxury Lodge"",""Hot Air Balloon""]	[{""day"":1,""title"":""Arrival in Nairobi"",""description"":""Safari briefing, equipment check, drive to Maasai Mara National Reserve""},{""day"":2,""title"":""Big Five Safari Drive"",""description"":""Early morning game drive, lion and elephant tracking, Maasai village cultural visit""},{""day"":3,""title"":""Great Migration Witness"",""description"":""Wildebeest river crossing observation, cheetah hunting experience, sunset photography""},{""day"":4,""title"":""Conservation Experience"",""description"":""Rhino sanctuary visit, anti-poaching patrol participation, wildlife conservation education""},{""day"":5,""title"":""Maasai Cultural Immersion"",""description"":""Traditional warrior ceremonies, beadwork workshops, authentic tribal meals""},{""day"":6,""title"":""Amboseli Elephant Haven"",""description"":""Mount Kilimanjaro backdrop photography, elephant family observation, research station visit""},{""day"":7,""title"":""Safari Conclusion"",""description"":""Final game drive, souvenir shopping at local markets, return to Nairobi""}]	""2025-06-11T08:47:14.750Z""	""2025-06-11T08:47:14.750Z""	5460.00	18	Early Bird	""2025-07-03T09:08:06.221Z""	group	Spring Break	false	\N	EARLY18	3	12	{""value"":200,""includes"":[""Hiking gear rental"",""Photography workshop"",""Local guide""]}
